"Date","Open","High","Low","Close"
"Nov 24, 2021","$23.68","$23.70","$23.34","$23.56"
"Nov 23, 2021","$24.18","$24.33","$23.28","$23.68"
"Nov 22, 2021","$24.64","$24.89","$24.11","$24.18"
"Nov 19, 2021","$24.81","$24.99","$24.56","$24.63"
"Nov 18, 2021","$25.08","$25.17","$24.69","$24.81"
"Nov 17, 2021","$24.83","$25.22","$24.82","$25.08"
"Nov 16, 2021","$25.07","$25.41","$24.78","$24.83"
"Nov 15, 2021","$25.35","$25.39","$24.92","$25.07"
"Nov 12, 2021","$25.25","$25.40","$24.86","$25.32"
"Nov 11, 2021","$24.64","$25.27","$24.51","$25.25"
"Nov 10, 2021","$24.32","$25.14","$24.07","$24.64"
"Nov 09, 2021","$24.48","$24.49","$24.04","$24.32"
"Nov 08, 2021","$24.21","$24.53","$24.06","$24.48"
"Nov 05, 2021","$23.80","$24.19","$23.63","$24.19"
"Nov 04, 2021","$23.54","$24.05","$23.45","$23.80"
"Nov 03, 2021","$23.58","$23.63","$23.03","$23.56"
"Nov 02, 2021","$24.06","$24.07","$23.40","$23.54"
"Nov 01, 2021","$23.91","$24.14","$23.76","$24.05"
"Oct 29, 2021","$24.10","$24.11","$23.66","$23.92"
"Oct 28, 2021","$24.08","$24.26","$23.97","$24.08"
"Oct 27, 2021","$24.17","$24.26","$23.84","$24.07"
"Oct 26, 2021","$24.59","$24.59","$23.88","$24.17"
"Oct 25, 2021","$24.35","$24.63","$24.31","$24.58"
"Oct 22, 2021","$24.16","$24.83","$24.13","$24.36"
"Oct 21, 2021","$24.32","$24.49","$24.01","$24.17"
"Oct 20, 2021","$23.68","$24.43","$23.58","$24.32"
"Oct 19, 2021","$23.22","$24.13","$23.19","$23.67"
"Oct 18, 2021","$23.34","$23.46","$23.02","$23.20"
"Oct 15, 2021","$23.54","$23.60","$23.08","$23.32"
"Oct 14, 2021","$23.12","$23.59","$22.91","$23.52"
"Oct 13, 2021","$22.59","$23.26","$22.48","$23.09"
"Oct 12, 2021","$22.62","$22.78","$22.35","$22.57"
"Oct 11, 2021","$22.70","$22.83","$22.50","$22.59"
"Oct 08, 2021","$22.61","$23.20","$22.44","$22.67"
"Oct 07, 2021","$22.78","$22.82","$22.40","$22.61"
"Sep 28, 2021","$22.64","$22.68","$22.11","$22.47"
"Sep 27, 2021","$22.54","$22.86","$22.41","$22.64"
"Sep 24, 2021","$22.54","$22.81","$22.12","$22.46"
"Sep 23, 2021","$22.58","$22.89","$22.48","$22.51"
"Sep 22, 2021","$22.52","$23.15","$22.48","$22.69"
"Sep 21, 2021","$22.29","$22.73","$22.25","$22.49"
"Sep 20, 2021","$22.42","$22.52","$22.04","$22.29"
"Sep 17, 2021","$22.93","$23.14","$22.34","$22.41"
"Sep 16, 2021","$23.84","$23.97","$22.61","$22.91"
"Sep 15, 2021","$23.86","$23.92","$23.67","$23.85"
"Sep 14, 2021","$23.75","$23.97","$23.44","$23.87"
"Sep 13, 2021","$23.79","$23.86","$23.39","$23.75"
"Sep 10, 2021","$24.06","$24.31","$23.74","$23.77"
